antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
['SUGAR'],['TEA POWDER'],0.06416464891041163,0.21428571428571427,0.0423728813559322,0.660377358490566,3.0817610062893084,0.028623313732272566,2.3134920634920633
['SUGAR'],['SALT'],0.06416464891041163,0.22033898305084745,0.0423728813559322,0.660377358490566,2.9970972423802613,0.028234907867197435,2.295668549905838
['DISHWASH LIQUID'],['SALT'],0.03753026634382567,0.22033898305084745,0.023002421307506054,0.6129032258064516,2.7816377171215882,0.014733040587680058,2.014124293785311
['KETCHUP'],['TEA POWDER'],0.035108958837772396,0.21428571428571427,0.020581113801452784,0.5862068965517242,2.7356321839080464,0.013057765479072985,1.898809523809524
['HAIR OIL'],['TOOTH PASTE'],0.07384987893462469,0.2288135593220339,0.043583535108958835,0.5901639344262295,2.5792349726775954,0.026685681454426066,1.881694915254237
['PAPAD'],['SALT'],0.09685230024213075,0.22033898305084745,0.05447941888619855,0.5625,2.5528846153846154,0.03313908154471211,1.782082324455206
['SUGAR'],['TOOTH PASTE'],0.06416464891041163,0.2288135593220339,0.03631961259079903,0.5660377358490565,2.473794549266247,0.02163787089095908,1.7770817980840081
['HAIR OIL'],['TEA POWDER'],0.07384987893462469,0.21428571428571427,0.0387409200968523,0.5245901639344263,2.448087431693989,0.022915946039432727,1.6527093596059115
['DISHWASH LIQUID'],['TOOTH PASTE'],0.03753026634382567,0.2288135593220339,0.020581113801452784,0.5483870967741935,2.396654719235364,0.011993679977018097,1.7076271186440675
['HAIR OIL'],['SALT'],0.07384987893462469,0.22033898305084745,0.03753026634382567,0.5081967213114755,2.306431273644389,0.02125825912094226,1.5853107344632773
['PAPAD'],['TOOTH PASTE'],0.09685230024213075,0.2288135593220339,0.05084745762711865,0.525,2.2944444444444447,0.028686338080190426,1.623550401427297
['SUGAR'],['BATHING SOAP'],0.06416464891041163,0.30871670702179177,0.043583535108958835,0.6792452830188679,2.2002219755826857,0.02377483599012716,2.155177325167355
['DISHWASH LIQUID'],['BATHING SOAP'],0.03753026634382567,0.30871670702179177,0.025423728813559324,0.6774193548387096,2.1943074003795067,0.013837508574242683,2.1429782082324453
['SUGAR'],['DISHWASH BAR'],0.06416464891041163,0.25181598062953997,0.035108958837772396,0.5471698113207547,2.1728955007256894,0.01895127485064695,1.6522397094430994
['PAPAD'],['DISHWASH BAR'],0.09685230024213075,0.25181598062953997,0.05205811138014528,0.5375000000000001,2.1344951923076927,0.027669154418446494,1.6176951770172112
['HAIR OIL'],['BATHING SOAP'],0.07384987893462469,0.30871670702179177,0.04721549636803874,0.639344262295082,2.070973963355834,0.024416804929383418,1.9167400396213958
['PAPAD'],['DETERGENT POWDER'],0.09685230024213075,0.31234866828087166,0.06174334140435835,0.6375,2.040988372093023,0.03149165440378967,1.8969691909493196
['DISHWASH BAR'],['DETERGENT POWDER'],0.25181598062953997,0.31234866828087166,0.1585956416464891,0.6298076923076922,2.0163610614192007,0.07994125544501052,1.8575516493192032
['DETERGENT POWDER'],['DISHWASH BAR'],0.31234866828087166,0.25181598062953997,0.1585956416464891,0.5077519379844961,2.0163610614192007,0.07994125544501052,1.5199328897447142
['PAPAD'],['BATHING SOAP'],0.09685230024213075,0.30871670702179177,0.059322033898305086,0.6125,1.9840196078431374,0.029422110700068595,1.7839568851050538
['SUGAR'],['DETERGENT POWDER'],0.06416464891041163,0.31234866828087166,0.0387409200968523,0.6037735849056604,1.9330115547754863,0.01869917745897555,1.7355009800530383
['NOODLES'],['BATHING SOAP'],0.06174334140435835,0.30871670702179177,0.03631961259079903,0.5882352941176471,1.9054209919261822,0.017258411551923265,1.6788308543756487
['TOOTH PASTE'],['BATHING SOAP'],0.2288135593220339,0.30871670702179177,0.1343825665859564,0.5873015873015872,1.9023965141612198,0.06374399803012269,1.6750325945241196
['KETCHUP'],['BATHING SOAP'],0.035108958837772396,0.30871670702179177,0.020581113801452784,0.5862068965517242,1.8988505747126438,0.009742391642092056,1.6706012913640034
['DETERGENT POWDER'],['BATHING SOAP'],0.31234866828087166,0.30871670702179177,0.18280871670702178,0.5852713178294574,1.8958200334397326,0.0863814643927091,1.666832612975493
['BATHING SOAP'],['DETERGENT POWDER'],0.30871670702179177,0.31234866828087166,0.18280871670702178,0.592156862745098,1.8958200334397326,0.0863814643927091,1.6860681691190167
['WASHING BAR'],['BATHING SOAP'],0.3268765133171913,0.30871670702179177,0.1900726392251816,0.5814814814814815,1.8835439360929558,0.08916039843113345,1.651738841629347
['BATHING SOAP'],['WASHING BAR'],0.30871670702179177,0.3268765133171913,0.1900726392251816,0.615686274509804,1.8835439360929556,0.08916039843113345,1.7514947867766961
['KETCHUP'],['DETERGENT POWDER'],0.035108958837772396,0.31234866828087166,0.020581113801452784,0.5862068965517242,1.876770916867148,0.009614877263746636,1.6618240516545606
['DISHWASH LIQUID'],['DETERGENT POWDER'],0.03753026634382567,0.31234866828087166,0.021791767554479417,0.5806451612903225,1.858964741185296,0.01006923884175905,1.6397839448686906
