COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,DISHWASH BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,SALT,PAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMOO+CONDIONER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,GOOD KNIGHT LIQUID,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,BISCUIT,BISCUIT,WASHING BAR,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH BRUSH,TOOTH BRUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMPOO,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,SALT,SLICE CAKE,TEA POWDER,NOODLES,HAIR OIL,WASHING BAR,DISHWASH BAR,COFFEE,BISCUIT,FACE WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,BATHING SOAP,CHOCOLATE,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMPOO,BISCUIT,SHAMPOO,DISHWASH BAR,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,DISHWASH BAR,HAIR OIL,TOOTH PASTE,BATHING SOAP,SLICE CAKE,FACE CREAM,TEA POWDER,BISCUIT,PAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,BISCUIT,DISHWASH BAR,SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,DISHWASH BAR,BATHING SOAP,HAIR OIL,DETERGENT POWDER,TEA POWDER,DISHWASH LIQUID,HAIR OIL,DISHWASH BAR,CHOCOLATE,CHOCOLATE,CHOCOLATE,TOOTH PASTE,SALT,PAPAD,DISHWASH LIQUID,TOOTH PASTE,BOURNVITA,DETERGENT POWDER,SUGAR,TEA POWDER,CHOCOLATE,DETERGENT POWDER,DETERGENT POWDER,DISHWASH BAR,BATHING SOAP,HAIR OIL,DETERGENT POWDER,TEA POWDER,,,,,,,,,,,
GOOD KNIGHT LIQUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,DISHWASH BAR,BATHING SOAP,SALT,DISHWASH LIQUID,COOKING OIL,BISCUIT,SALT,BATHING SOAP,BATHING SOAP,TOOTH BRUSH,BISCUIT,TOOTH PASTE,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,BISCUIT,SANDWICH CAKE,TOOTH BRUSH,WASHING BAR,TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,WASHING BAR,SALT,TOOTH POWDER,PAPAD,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,TEA POWDER,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,COFFEE,HAND WASH,DETERGENT POWDER,TOOTH BRUSH,DISHWASH BAR,WASHING BAR,WASHING BAR,WASHING BAR,COOKING OIL,DETERGENT POWDER,PAPAD,BATHING SOAP,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,COOKING OIL,COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,DETERGENT POWDER,DISHWASH BAR,COOKING OIL,TOOTH BRUSH,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,COOKING OIL,TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,DISHWASH BAR,DETERGENT POWDER,WASHING BAR,COFFEE,COFFEE,DISHWASH BAR,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,TEA POWDER,TEA POWDER,SALT,SUGAR,TOOTH PASTE,DETERGENT POWDER,BATHING SOAP,GOOD KNIGHT LIQUID,WASHING BAR,TOOTH BRUSH,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,DETERGENT POWDER,BATHING SOAP,TOOTH PASTE,CHOCOLATE,BISCUIT,BISCUIT,BATHING SOAP,BISCUIT,COOKING OIL,WASHING BAR,DISHWASH BAR,NOODLES,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,WASHING BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,BATHING SOAP,TOOTH BRUSH,TOOTH PASTE,WASHING BAR,PAPAD,CHOCOLATE,BISCUIT,SALT,TEA POWDER,SUGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,WASHING BAR,BATHING SOAP,SALT,WASHING BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,TOOTH PASTE,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,TOOTH PASTE,SALT,BISCUIT,PAPAD,CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,KETCHUP,NOODLES,DETERGENT POWDER,BISCUIT,TOOTH BRUSH,BATHING SOAP,WASHING BAR,TEA POWDER,HAIR OIL,DISHWASH BAR,DETERGENT POWDER,SUGAR,DISHWASH BAR,SALT,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,TEA POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,DISHWASH BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFFEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,DISHWASH BAR,NOODLES,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPAD,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,BATHING SOAP,DISHWASH BAR,BATHING SOAP,TEA POWDER,TOOTH PASTE,COFFEE,CHOCOLATE,CHOCOLATE,SALT,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,WASHING BAR,WASHING BAR,DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,BISCUIT,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,DISHWASH LIQUID,DISHWASH BAR,BATHING SOAP,DETERGENT POWDER,SHAMPOO,NOODLES,KETCHUP,CHOCOLATE,TOOTH BRUSH,GOOD KNIGHT LIQUID,SALT,KETCHUP,NOODLES,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,DISHWASH BAR,BATHING SOAP,WASHING BAR,DETERGENT POWDER,FACE CREAM,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOODLES,BISCUIT,BISCUIT,SALT,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFFEE,BISCUIT,TEA POWDER,WASHING BAR,COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,BATHING SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,BISCUIT,COFFEE,DISHWASH BAR,SHAMPOO,SHAMPOO,PAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA POWDER,BISCUIT,BISCUIT,WASHING LIQUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,BISCUIT,TOOTH BRUSH,NOODLES,COFFEE,TOOTH PASTE,BATHING SOAP,DETERGENT POWDER,WASHING BAR,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,SUGAR,SALT,TOOTH PASTE,TEA POWDER,PAPAD,HAIR OIL,HAIR OIL,HAIR OIL,SHAMPOO,WASHING POWDER,BISCUIT,PAPAD,NOODLES,NOODLES,WASHING BAR,CHOCOLATE,HAND WASH,,,,,,,,,,,,,,,,,,,,,,
HAIR OIL,SALT,DISHWASH BAR,NOODLES,SALT,BATHING SOAP,TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,COFFEE,BISCUIT,TOOTH PASTE,BATHING SOAP,BATHING SOAP,BISCUIT,NOODLES,NOODLES,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT,BISCUIT,TOOTH PASTE,TOOTH BRUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE,NOODLES,NOODLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,BISCUIT,BISCUIT,BISCUIT,BISCUIT,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,COOKING OIL,WASHING BAR,DETERGENT POWDER,DETERGENT POWDER,BISCUIT,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,BISCUIT,DETERGENT POWDER,DISHWASH BAR,SLICE CAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,SHAMPOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPAD,TOOTH PASTE,DETERGENT POWDER,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH BRUSH,BATHING SOAP,DISHWASH BAR,TOOTH BRUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPAD,TOOTH BRUSH,BATHING SOAP,BATHING SOAP,SALT,BATHING SOAP,DETERGENT POWDER,DISHWASH BAR,WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,COOKING OIL,BOURNVITA,DISHWASH LIQUID,TOOTH PASTE,SHAMPOO,WASHING BAR,DETERGENT POWDER,COOKING OIL,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,CHOCOLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT,COFFEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,WASHING BAR,DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISHWASH BAR,DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOTH PASTE,BISCUIT,BISCUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKING OIL,SUGAR,TEA POWDER,SALT,GOOD KNIGHT LIQUID,BATHING SOAP,DISHWASH BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETERGENT POWDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
